SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42024,1610612752,NYK,New York Knicks,0042400125,2025-04-29,NYK vs. DET,L,241,103,39,90,0.433,9,25,0.36,16,27,0.593,15,34,49,19,5,10,13,27,-3.0
42024,1610612752,NYK,New York Knicks,0042400124,2025-04-27,NYK @ DET,W,240,94,34,91,0.374,15,33,0.455,11,18,0.611,12,26,38,19,11,3,10,17,1.0
42024,1610612752,NYK,New York Knicks,0042400123,2025-04-24,NYK @ DET,W,241,118,40,86,0.465,12,32,0.375,26,29,0.897,9,31,40,22,11,7,9,22,2.0
42024,1610612752,NYK,New York Knicks,0042400122,2025-04-21,NYK vs. DET,L,239,94,34,81,0.42,10,35,0.286,16,19,0.842,7,27,34,15,8,1,14,22,-6.0
42024,1610612752,NYK,New York Knicks,0042400121,2025-04-19,NYK vs. DET,W,240,123,49,93,0.527,10,26,0.385,15,17,0.882,8,28,36,26,12,9,9,21,11.0
22024,1610612752,NYK,New York Knicks,0022401188,2025-04-13,NYK @ BKN,W,240,113,37,86,0.43,16,42,0.381,23,26,0.885,10,30,40,27,10,3,11,25,8.0
22024,1610612752,NYK,New York Knicks,0022401175,2025-04-11,NYK vs. CLE,L,240,102,36,88,0.409,16,41,0.39,14,20,0.7,10,25,35,22,11,2,8,18,-6.0
22024,1610612752,NYK,New York Knicks,0022401167,2025-04-10,NYK @ DET,L,240,106,42,90,0.467,11,34,0.324,11,14,0.786,11,23,34,32,11,6,14,19,-9.0
22024,1610612752,NYK,New York Knicks,0022401151,2025-04-08,NYK vs. BOS,L,266,117,48,101,0.475,11,38,0.289,10,16,0.625,17,35,52,28,8,6,11,21,-2.0
22024,1610612752,NYK,New York Knicks,0022401140,2025-04-06,NYK vs. PHX,W,240,112,40,74,0.541,12,28,0.429,20,24,0.833,6,35,41,28,6,3,14,18,14.0
22024,1610612752,NYK,New York Knicks,0022401128,2025-04-05,NYK @ ATL,W,240,121,45,84,0.536,15,29,0.517,16,19,0.842,6,32,38,32,8,5,13,13,16.0
22024,1610612752,NYK,New York Knicks,0022401103,2025-04-02,NYK @ CLE,L,240,105,40,90,0.444,11,36,0.306,14,17,0.824,15,24,39,24,7,2,14,19,-19.0
22024,1610612752,NYK,New York Knicks,0022401098,2025-04-01,NYK vs. PHI,W,239,105,36,85,0.424,12,31,0.387,21,26,0.808,14,30,44,23,10,4,18,18,14.0
22024,1610612752,NYK,New York Knicks,0022401082,2025-03-30,NYK vs. POR,W,241,110,45,84,0.536,10,25,0.4,10,13,0.769,9,35,44,27,10,10,13,17,17.0
22024,1610612752,NYK,New York Knicks,0022401070,2025-03-28,NYK @ MIL,W,239,116,45,93,0.484,12,33,0.364,14,16,0.875,14,30,44,28,12,1,8,14,9.0
22024,1610612752,NYK,New York Knicks,0022401056,2025-03-26,NYK vs. LAC,L,241,113,42,84,0.5,13,34,0.382,16,22,0.727,7,31,38,35,4,1,9,14,-13.0
22024,1610612752,NYK,New York Knicks,0022401048,2025-03-25,NYK vs. DAL,W,240,128,53,89,0.596,10,26,0.385,12,18,0.667,5,31,36,40,9,4,14,18,15.0
22024,1610612752,NYK,New York Knicks,0022401026,2025-03-22,NYK vs. WAS,W,242,122,44,91,0.484,13,35,0.371,21,27,0.778,14,35,49,29,13,3,14,17,19.0
22024,1610612752,NYK,New York Knicks,0022401010,2025-03-20,NYK @ CHA,L,240,98,36,90,0.4,10,39,0.256,16,20,0.8,9,29,38,26,9,2,7,18,-17.0
22024,1610612752,NYK,New York Knicks,0022401003,2025-03-19,NYK @ SAS,L,240,105,39,92,0.424,11,37,0.297,16,21,0.762,17,27,44,28,7,7,10,18,-15.0
22024,1610612752,NYK,New York Knicks,0022400984,2025-03-17,NYK vs. MIA,W,240,116,47,95,0.495,16,34,0.471,6,6,1.0,13,28,41,30,12,6,13,14,21.0
22024,1610612752,NYK,New York Knicks,0022400974,2025-03-15,NYK @ GSW,L,240,94,37,86,0.43,9,24,0.375,11,13,0.846,13,36,49,20,6,6,13,16,-3.0
22024,1610612752,NYK,New York Knicks,0022400953,2025-03-12,NYK @ POR,W,266,114,44,94,0.468,12,31,0.387,14,20,0.7,11,27,38,27,12,7,15,21,1.0
22024,1610612752,NYK,New York Knicks,0022400939,2025-03-10,NYK @ SAC,W,241,133,45,84,0.536,22,40,0.55,21,26,0.808,6,34,40,34,13,1,15,24,29.0
22024,1610612752,NYK,New York Knicks,0022400911,2025-03-07,NYK @ LAC,L,241,95,35,91,0.385,9,34,0.265,16,18,0.889,14,39,53,25,6,4,15,15,-10.0
22024,1610612752,NYK,New York Knicks,0022400903,2025-03-06,NYK @ LAL,L,264,109,37,94,0.394,10,43,0.233,25,32,0.781,14,32,46,20,10,2,13,21,-4.0
22024,1610612752,NYK,New York Knicks,0022400885,2025-03-04,NYK vs. GSW,L,240,102,41,92,0.446,8,33,0.242,12,15,0.8,14,28,42,26,4,2,13,17,-12.0
22024,1610612752,NYK,New York Knicks,0022400869,2025-03-02,NYK @ MIA,W,263,116,46,95,0.484,14,44,0.318,10,15,0.667,11,35,46,27,5,6,10,16,4.0
22024,1610612752,NYK,New York Knicks,0022400856,2025-02-28,NYK @ MEM,W,239,114,44,95,0.463,13,38,0.342,13,16,0.813,8,27,35,29,10,7,8,16,1.0
22024,1610612752,NYK,New York Knicks,0022400838,2025-02-26,NYK vs. PHI,W,239,110,40,77,0.519,7,19,0.368,23,29,0.793,7,36,43,22,6,8,16,15,5.0
22024,1610612752,NYK,New York Knicks,0022400811,2025-02-23,NYK @ BOS,L,239,105,40,92,0.435,14,36,0.389,11,11,1.0,7,33,40,21,4,1,11,15,-13.0
22024,1610612752,NYK,New York Knicks,0022400797,2025-02-21,NYK @ CLE,L,241,105,42,89,0.472,10,28,0.357,11,18,0.611,9,23,32,25,8,3,16,12,-37.0
22024,1610612752,NYK,New York Knicks,0022400792,2025-02-20,NYK vs. CHI,W,265,113,46,107,0.43,14,46,0.304,7,10,0.7,10,44,54,28,10,7,11,12,2.0
