id_equipo,equipo,id_partido,fecha,enfrentamiento,resultado,puntos,tiros_campo_convertidos,tiros_campo_intentados,porcentaje_tiros_campo,triples_convertidos,triples_intentados,porcentaje_triples,libres_convertidos,libres_intentados,porcentaje_libres,asistencias,rebotes,perdidas,mas_menos
1610612744,Golden State Warriors,21401089,2015-03-28,GSW @ MIL,W,108,42,82,0.512,12,25,0.48,12,14,0.857,27,45,22.0,13.0
1610612744,Golden State Warriors,21401111,2015-03-31,GSW @ LAC,W,110,38,85,0.447,8,21,0.381,26,34,0.765,28,43,9.0,4.0
1610612744,Golden State Warriors,21401126,2015-04-02,GSW vs. PHX,W,107,43,93,0.462,10,26,0.385,11,17,0.647,29,50,13.0,1.0
1610612744,Golden State Warriors,21401142,2015-04-04,GSW @ DAL,W,123,43,95,0.453,14,36,0.389,23,32,0.719,28,55,14.0,13.0
1610612744,Golden State Warriors,21401150,2015-04-05,GSW @ SAS,L,92,39,91,0.429,9,28,0.321,5,10,0.5,25,39,11.0,-15.0
1610612744,Golden State Warriors,21401156,2015-04-07,GSW @ NOP,L,100,42,95,0.442,9,22,0.409,7,10,0.7,25,50,12.0,-3.0
1610612744,Golden State Warriors,21401174,2015-04-09,GSW vs. POR,W,116,48,90,0.533,12,26,0.462,8,9,0.889,27,44,14.0,11.0
1610612744,Golden State Warriors,21401192,2015-04-11,GSW vs. MIN,W,110,42,93,0.452,11,31,0.355,15,21,0.714,28,50,12.0,9.0
1610612744,Golden State Warriors,21401212,2015-04-13,GSW vs. MEM,W,111,39,74,0.527,13,24,0.542,20,27,0.741,30,39,21.0,4.0
1610612744,Golden State Warriors,21401229,2015-04-15,GSW vs. DEN,W,133,47,90,0.522,13,28,0.464,26,34,0.765,30,41,13.0,7.0
1610612744,Golden State Warriors,21500003,2015-10-27,GSW vs. NOP,W,111,41,96,0.427,9,30,0.3,20,22,0.909,29,56,20.0,16.0
1610612744,Golden State Warriors,21500030,2015-10-30,GSW @ HOU,W,112,43,93,0.462,9,26,0.346,17,25,0.68,26,47,8.0,20.0
1610612744,Golden State Warriors,21500035,2015-10-31,GSW @ NOP,W,134,46,84,0.548,17,30,0.567,25,35,0.714,26,38,10.0,14.0
1610612744,Golden State Warriors,21500051,2015-11-02,GSW vs. MEM,W,119,43,84,0.512,11,25,0.44,22,30,0.733,32,65,14.0,50.0
1610612744,Golden State Warriors,21500069,2015-11-04,GSW vs. LAC,W,112,39,85,0.459,10,26,0.385,24,31,0.774,28,42,12.0,4.0
1610612744,Golden State Warriors,21500083,2015-11-06,GSW vs. DEN,W,119,46,93,0.495,17,37,0.459,10,18,0.556,40,53,20.0,15.0
1610612744,Golden State Warriors,21500092,2015-11-07,GSW @ SAC,W,103,38,92,0.413,8,39,0.205,19,22,0.864,27,46,18.0,9.0
1610612744,Golden State Warriors,21500104,2015-11-09,GSW vs. DET,W,109,43,91,0.473,12,21,0.571,11,13,0.846,29,41,16.0,14.0
1610612744,Golden State Warriors,21500120,2015-11-11,GSW @ MEM,W,100,36,75,0.48,11,27,0.407,17,23,0.739,22,36,23.0,16.0
1610612744,Golden State Warriors,21500125,2015-11-12,GSW @ MIN,W,129,48,89,0.539,18,38,0.474,15,16,0.938,34,33,11.0,13.0
1610612744,Golden State Warriors,21500144,2015-11-14,GSW vs. BKN,W,107,43,97,0.443,12,34,0.353,9,10,0.9,31,50,15.0,8.0
1610612744,Golden State Warriors,21500164,2015-11-17,GSW vs. TOR,W,115,43,80,0.538,11,29,0.379,18,27,0.667,31,34,20.0,5.0
1610612744,Golden State Warriors,21500177,2015-11-19,GSW @ LAC,W,124,38,73,0.521,17,30,0.567,31,36,0.861,31,44,19.0,7.0
1610612744,Golden State Warriors,21500187,2015-11-20,GSW vs. CHI,W,106,39,79,0.494,10,29,0.345,18,24,0.75,20,49,16.0,12.0
1610612744,Golden State Warriors,21500200,2015-11-22,GSW @ DEN,W,118,47,89,0.528,15,29,0.517,9,13,0.692,35,46,21.0,13.0
1610612744,Golden State Warriors,21500214,2015-11-24,GSW vs. LAL,W,111,45,92,0.489,12,35,0.343,9,15,0.6,32,48,8.0,34.0
1610612744,Golden State Warriors,21500236,2015-11-27,GSW @ PHX,W,135,46,81,0.568,22,38,0.579,21,31,0.677,32,53,24.0,19.0
1610612744,Golden State Warriors,21500245,2015-11-28,GSW vs. SAC,W,120,39,80,0.488,16,30,0.533,26,31,0.839,32,48,16.0,19.0
1610612744,Golden State Warriors,21500259,2015-11-30,GSW @ UTA,W,106,40,82,0.488,14,29,0.483,12,15,0.8,21,45,15.0,3.0
1610612744,Golden State Warriors,21500268,2015-12-02,GSW @ CHA,W,116,46,88,0.523,16,34,0.471,8,11,0.727,31,53,21.0,17.0
1610612744,Golden State Warriors,21500290,2015-12-05,GSW @ TOR,W,112,35,73,0.479,16,30,0.533,26,36,0.722,22,43,12.0,3.0
1610612744,Golden State Warriors,21500300,2015-12-06,GSW @ BKN,W,114,44,86,0.512,14,33,0.424,12,23,0.522,25,46,12.0,16.0
1610612744,Golden State Warriors,21500314,2015-12-08,GSW @ IND,W,131,52,95,0.547,16,35,0.457,11,15,0.733,29,46,15.0,8.0
1610612744,Golden State Warriors,21500336,2015-12-11,GSW @ BOS,W,124,42,107,0.393,9,31,0.29,31,39,0.795,28,67,18.0,5.0
1610612744,Golden State Warriors,21500351,2015-12-12,GSW @ MIL,L,95,36,89,0.404,6,27,0.222,17,25,0.68,23,49,17.0,-13.0
1610612744,Golden State Warriors,21500381,2015-12-16,GSW vs. PHX,W,128,46,88,0.523,15,32,0.469,21,27,0.778,32,49,17.0,25.0
1610612744,Golden State Warriors,21500397,2015-12-18,GSW vs. MIL,W,121,42,87,0.483,9,26,0.346,28,37,0.757,31,46,15.0,9.0
1610612744,Golden State Warriors,21500434,2015-12-23,GSW vs. UTA,W,103,39,83,0.47,9,23,0.391,16,16,1.0,26,40,16.0,18.0
1610612744,Golden State Warriors,21500438,2015-12-25,GSW vs. CLE,W,89,32,78,0.41,5,18,0.278,20,27,0.741,21,49,16.0,6.0
1610612744,Golden State Warriors,21500468,2015-12-28,GSW vs. SAC,W,122,43,89,0.483,20,42,0.476,16,24,0.667,33,59,18.0,19.0
1610612744,Golden State Warriors,21500480,2015-12-30,GSW @ DAL,L,91,33,81,0.407,7,19,0.368,18,24,0.75,20,37,12.0,-23.0
1610612744,Golden State Warriors,21500485,2015-12-31,GSW @ HOU,W,114,43,84,0.512,11,23,0.478,17,27,0.63,35,43,18.0,4.0
1610612744,Golden State Warriors,21500504,2016-01-02,GSW vs. DEN,W,111,43,86,0.5,10,28,0.357,15,23,0.652,34,47,14.0,3.0
1610612744,Golden State Warriors,21500520,2016-01-04,GSW vs. CHA,W,111,45,87,0.517,15,34,0.441,6,6,1.0,32,37,11.0,10.0
1610612744,Golden State Warriors,21500524,2016-01-05,GSW @ LAL,W,109,40,86,0.465,13,31,0.419,16,21,0.762,26,54,11.0,21.0
1610612744,Golden State Warriors,21500548,2016-01-08,GSW @ POR,W,128,46,87,0.529,18,32,0.563,18,21,0.857,36,48,15.0,20.0
1610612744,Golden State Warriors,21500556,2016-01-09,GSW @ SAC,W,128,49,87,0.563,19,37,0.514,11,15,0.733,35,48,19.0,12.0
1610612744,Golden State Warriors,21500568,2016-01-11,GSW vs. MIA,W,111,41,86,0.477,7,23,0.304,22,30,0.733,25,49,9.0,8.0
1610612744,Golden State Warriors,21500583,2016-01-13,GSW @ DEN,L,110,42,88,0.477,10,26,0.385,16,20,0.8,25,39,13.0,-2.0
1610612744,Golden State Warriors,21500592,2016-01-14,GSW vs. LAL,W,116,43,86,0.5,13,33,0.394,17,20,0.85,26,47,20.0,18.0
1610612744,Golden State Warriors,21500605,2016-01-16,GSW @ DET,L,95,34,94,0.362,10,25,0.4,17,23,0.739,18,47,13.0,-18.0
1610612744,Golden State Warriors,21500622,2016-01-18,GSW @ CLE,W,132,46,85,0.541,19,40,0.475,21,27,0.778,33,37,8.0,34.0
