minute_bin,GAME_ID,pts_scored,pts_received
23,42400165,6,2
24,42400165,0,4
25,42400165,2,0
26,42400165,2,2
27,42400165,3,1
28,42400165,3,4
29,42400165,2,0
30,42400165,2,4
31,42400165,5,3
32,42400165,2,2
33,42400165,5,2
34,42400165,4,0
35,42400165,1,2
36,42400165,0,2
37,42400165,2,1
38,42400165,0,0
39,42400165,0,2
40,42400165,3,2
41,42400165,1,1
42,42400165,2,2
43,42400165,0,2
44,42400165,0,0
45,42400165,3,2
46,42400165,0,4
47,42400165,3,3
48,42400165,2,3
