TEAM_NAME,GAME_DATE,MATCHUP,PTS,FG3M,REB,AST,BLK
Oklahoma City Thunder,2024-10-15T00:00:00,OKC @ DEN,124,17,44,31,5
Houston Rockets,2024-10-15T00:00:00,HOU vs. NOP,118,12,62,30,5
Golden State Warriors,2024-10-15T00:00:00,GSW @ LAL,111,14,55,33,5
New York Knicks,2024-10-15T00:00:00,NYK vs. CHA,111,16,59,28,2
Miami Heat,2024-10-15T00:00:00,MIA vs. SAS,120,14,36,31,6
Utah Jazz,2024-10-15T00:00:00,UTA vs. SAC,117,14,41,21,12
Toronto Raptors,2024-10-15T00:00:00,TOR vs. BOS,119,15,57,34,0
Boston Celtics,2024-10-15T00:00:00,BOS @ TOR,118,18,36,19,5
San Antonio Spurs,2024-10-15T00:00:00,SAS @ MIA,117,9,50,28,2
Sacramento Kings,2024-10-15T00:00:00,SAC @ UTA,114,10,44,32,2
Charlotte Hornets,2024-10-15T00:00:00,CHA @ NYK,105,18,45,22,5
Los Angeles Lakers,2024-10-15T00:00:00,LAL vs. GSW,97,11,50,20,5
New Orleans Pelicans,2024-10-15T00:00:00,NOP @ HOU,98,9,47,25,5
Denver Nuggets,2024-10-15T00:00:00,DEN vs. OKC,94,10,47,25,3
Brooklyn Nets,2024-10-14T00:00:00,BKN vs. WAS,131,13,41,27,4
Philadelphia 76ers,2024-10-14T00:00:00,PHI @ ATL,104,14,53,28,6
LA Clippers,2024-10-14T00:00:00,LAC vs. DAL,110,6,42,31,7
Memphis Grizzlies,2024-10-14T00:00:00,MEM @ IND,120,16,47,32,1
Milwaukee Bucks,2024-10-14T00:00:00,MIL vs. CHI,111,11,54,24,6
Indiana Pacers,2024-10-14T00:00:00,IND vs. MEM,116,13,40,33,3
Chicago Bulls,2024-10-14T00:00:00,CHI @ MIL,107,17,50,25,6
Dallas Mavericks,2024-10-14T00:00:00,DAL @ LAC,96,15,38,21,8
Atlanta Hawks,2024-10-14T00:00:00,ATL vs. PHI,89,13,52,27,5
Washington Wizards,2024-10-14T00:00:00,WAS @ BKN,92,7,41,18,5
Portland Trail Blazers,2024-10-13T00:00:00,POR @ SAC,105,14,47,23,3
Golden State Warriors,2024-10-13T00:00:00,GSW vs. DET,111,18,49,31,9
New York Knicks,2024-10-13T00:00:00,NYK vs. MIN,115,12,52,23,3
Phoenix Suns,2024-10-13T00:00:00,PHX @ DEN,118,23,48,29,6
Boston Celtics,2024-10-13T00:00:00,BOS vs. TOR,115,18,50,29,5
Miami Heat,2024-10-13T00:00:00,MIA vs. NOP,101,9,48,26,1
New Orleans Pelicans,2024-10-13T00:00:00,NOP @ MIA,99,9,48,19,11
Denver Nuggets,2024-10-13T00:00:00,DEN vs. PHX,114,12,46,33,3
Toronto Raptors,2024-10-13T00:00:00,TOR @ BOS,111,10,45,30,2
Minnesota Timberwolves,2024-10-13T00:00:00,MIN @ NYK,110,17,51,22,3
Detroit Pistons,2024-10-13T00:00:00,DET @ GSW,93,7,36,30,9
Sacramento Kings,2024-10-13T00:00:00,SAC vs. POR,85,5,46,25,5
Boston Celtics,2024-10-12T00:00:00,BOS vs. PHI,139,23,60,38,7
San Antonio Spurs,2024-10-12T00:00:00,SAS vs. UTA,126,13,40,35,4
Memphis Grizzlies,2024-10-12T00:00:00,MEM @ CHI,124,17,58,31,8
Chicago Bulls,2024-10-12T00:00:00,CHI vs. MEM,121,20,46,26,6
Utah Jazz,2024-10-12T00:00:00,UTA @ SAS,120,17,45,28,5
Philadelphia 76ers,2024-10-12T00:00:00,PHI @ BOS,89,10,33,17,1
Washington Wizards,2024-10-11T00:00:00,WAS vs. TOR,113,17,42,23,8
Detroit Pistons,2024-10-11T00:00:00,DET @ PHX,109,9,51,22,3
Minnesota Timberwolves,2024-10-11T00:00:00,MIN vs. PHI,121,18,45,32,7
Golden State Warriors,2024-10-11T00:00:00,GSW vs. SAC,109,13,46,20,4
LA Clippers,2024-10-11T00:00:00,LAC vs. POR,101,9,43,22,8
Portland Trail Blazers,2024-10-11T00:00:00,POR @ LAC,99,10,47,24,6
Sacramento Kings,2024-10-11T00:00:00,SAC @ GSW,106,13,47,24,2
Philadelphia 76ers,2024-10-11T00:00:00,PHI @ MIN,111,16,47,17,3
Toronto Raptors,2024-10-11T00:00:00,TOR @ WAS,95,7,45,20,3
Phoenix Suns,2024-10-11T00:00:00,PHX vs. DET,91,11,39,24,3
Oklahoma City Thunder,2024-10-10T00:00:00,OKC vs. NZB,117,16,47,23,4
Charlotte Hornets,2024-10-10T00:00:00,CHA @ MEM,119,18,48,22,6
Indiana Pacers,2024-10-10T00:00:00,IND @ CLE,129,16,51,28,7
Utah Jazz,2024-10-10T00:00:00,UTA @ DAL,107,11,49,22,6
Los Angeles Lakers,2024-10-10T00:00:00,LAL @ MIL,107,14,55,28,8
Milwaukee Bucks,2024-10-10T00:00:00,MIL vs. LAL,102,13,49,32,7
Dallas Mavericks,2024-10-10T00:00:00,DAL vs. UTA,102,8,45,21,10
Cleveland Cavaliers,2024-10-10T00:00:00,CLE vs. IND,117,12,42,34,2
Memphis Grizzlies,2024-10-10T00:00:00,MEM vs. CHA,94,14,41,23,5
New Zealand Breakers,2024-10-10T00:00:00,NZB @ OKC,89,15,38,18,5
New York Knicks,2024-10-09T00:00:00,NYK vs. WAS,117,10,46,23,5
Golden State Warriors,2024-10-09T00:00:00,GSW @ SAC,122,28,33,34,3
San Antonio Spurs,2024-10-09T00:00:00,SAS vs. ORL,107,14,43,27,7
Houston Rockets,2024-10-09T00:00:00,HOU @ OKC,122,13,58,23,0
Oklahoma City Thunder,2024-10-09T00:00:00,OKC vs. HOU,113,15,49,25,5
Sacramento Kings,2024-10-09T00:00:00,SAC vs. GSW,112,7,41,28,3
Orlando Magic,2024-10-09T00:00:00,ORL @ SAS,97,12,50,22,3
Washington Wizards,2024-10-09T00:00:00,WAS @ NYK,94,12,53,22,9
LA Clippers,2024-10-08T00:00:00,LAC vs. BKN,115,12,44,28,11
Phoenix Suns,2024-10-08T00:00:00,PHX @ DET,105,16,38,30,9
Chicago Bulls,2024-10-08T00:00:00,CHI @ CLE,116,8,59,24,9
Charlotte Hornets,2024-10-08T00:00:00,CHA vs. MIA,111,14,55,19,7
Atlanta Hawks,2024-10-08T00:00:00,ATL vs. IND,131,15,43,35,2
Indiana Pacers,2024-10-08T00:00:00,IND @ ATL,130,13,43,32,5
Miami Heat,2024-10-08T00:00:00,MIA @ CHA,108,15,42,29,11
Cleveland Cavaliers,2024-10-08T00:00:00,CLE vs. CHI,112,10,60,27,6
Detroit Pistons,2024-10-08T00:00:00,DET vs. PHX,97,10,44,29,4
Brooklyn Nets,2024-10-08T00:00:00,BKN @ LAC,106,11,36,30,4
Philadelphia 76ers,2024-10-07T00:00:00,PHI vs. NZB,139,17,51,30,2
Utah Jazz,2024-10-07T00:00:00,UTA vs. HOU,122,14,49,21,4
Memphis Grizzlies,2024-10-07T00:00:00,MEM @ DAL,121,15,55,35,7
Oklahoma City Thunder,2024-10-07T00:00:00,OKC @ SAS,112,11,46,34,10
New Orleans Pelicans,2024-10-07T00:00:00,NOP vs. ORL,106,12,40,25,5
Orlando Magic,2024-10-07T00:00:00,ORL @ NOP,104,9,44,20,3
Dallas Mavericks,2024-10-07T00:00:00,DAL vs. MEM,116,13,36,26,3
San Antonio Spurs,2024-10-07T00:00:00,SAS vs. OKC,107,17,42,29,4
Houston Rockets,2024-10-07T00:00:00,HOU @ UTA,113,13,34,27,7
New Zealand Breakers,2024-10-07T00:00:00,NZB @ PHI,84,4,31,11,4
Detroit Pistons,2024-10-06T00:00:00,DET vs. MIL,120,12,51,31,9
Toronto Raptors,2024-10-06T00:00:00,TOR @ WAS,125,15,51,39,3
Boston Celtics,2024-10-06T00:00:00,BOS @ DEN,130,18,38,33,3
Phoenix Suns,2024-10-06T00:00:00,PHX @ LAL,118,16,50,33,5
New York Knicks,2024-10-06T00:00:00,NYK @ CHA,111,16,39,21,5
Charlotte Hornets,2024-10-06T00:00:00,CHA vs. NYK,109,17,46,27,6
Los Angeles Lakers,2024-10-06T00:00:00,LAL vs. PHX,114,11,49,31,7
Denver Nuggets,2024-10-06T00:00:00,DEN @ BOS,104,8,42,24,1
Washington Wizards,2024-10-06T00:00:00,WAS @ TOR,98,11,32,22,7
Milwaukee Bucks,2024-10-06T00:00:00,MIL @ DET,87,19,46,20,12
Golden State Warriors,2024-10-05T00:00:00,GSW @ LAC,91,11,56,24,6
LA Clippers,2024-10-05T00:00:00,LAC vs. GSW,90,8,47,21,6
Utah Jazz,2024-10-04T00:00:00,UTA vs. NZB,116,12,44,27,5
Minnesota Timberwolves,2024-10-04T00:00:00,MIN @ LAL,124,15,41,24,3
Boston Celtics,2024-10-04T00:00:00,BOS @ DEN,107,20,44,29,8
Denver Nuggets,2024-10-04T00:00:00,DEN @ BOS,103,12,49,29,2
Los Angeles Lakers,2024-10-04T00:00:00,LAL vs. MIN,107,10,38,28,12
New Zealand Breakers,2024-10-04T00:00:00,NZB @ UTA,87,11,35,23,5
